dateTime,character,itemID,offspec,id
2025-10-31,Ixian,16918,1,13701719774439806330
2025-10-31,Omershoots,19336,0,21069934706956102310
2025-10-31,Asdrubaal,16904,0,23245063333214265981
2025-10-31,Eldoren,19339,0,16984660352561424885
2025-10-31,Anunaki,16910,0,24051756304173792374
2025-10-31,Omershoots,16936,0,32832759726956102310
2025-10-31,Sucrette,20383,0,84622088471813132000
2025-10-31,Sucrette,20383,0,21793539757181313200
2025-10-31,Shadory,19399,0,35265435141376239310
2025-10-31,Gwilliam,19397,1,17542208841438554710
2025-10-31,Sixto,20383,0,65305470018769601360
2025-10-31,Sixto,20383,0,35875952141876960136
2025-10-31,Symm,19406,0,20943339284291663820
2025-10-31,Eldoren,16913,0,30546273132561424885
2025-10-31,Whorm,19353,1,35838906804111470467
2025-10-31,Boomer,19432,0,31824088031994327890
2025-10-31,Ixian,19391,1,32917133044439806330
2025-10-31,Micahlion,19388,0,12244307323816813106
2025-10-31,Melancholia,16953,1,77970523440258825400
2025-10-31,Holdhur,16924,1,26209256523277978942
2025-10-31,Corvere,19002,0,13623459944104333900
2025-10-31,Shadory,19356,0,19037723204137623931
2025-10-31,Asdrubaal,19360,0,41430460713214265981
2025-10-31,Thijn,16905,0,23212140665505625530
2025-10-31,Alagathor,16665,0,85916653518510378390
2025-10-31,Alagathor,16665,0,81306193018510378390
2025-10-31,Lillkungs,16863,1,36826793029678839990
2025-10-31,Ophey,18260,0,20163249452001644037
2025-10-31,Zälrus,16814,0,39380281884263348393
2025-10-31,Omershoots,16847,0,39143744892341788939
2025-10-31,Shadory,18878,0,40027573651488835336
2025-10-31,Melancholia,16854,1,41939735432890889717
2025-10-31,Fez,16795,0,61034887739478983700
2025-10-31,Etowa,19136,1,17566179003078562060
2025-10-31,Etowa,19145,1,42399452003078562060
2025-10-31,Mssingno,17074,1,18434619383075859832
2025-10-31,Boomer,16868,1,17299155153154298004
2025-10-31,Shadory,17103,0,16569551431488835336
2025-10-31,Fez,16798,0,19065881703947898370
2025-10-31,Alagathor,18703,0,31906497431851037839
2025-10-31,Aiva,18803,1,27460722453227162591
2025-10-31,Omershoots,18812,0,15878663952341788939
2025-10-31,Willythepimp,17063,0,97974259826651208400
2025-10-31,Mssingno,16938,0,24491811123075859832
2025-10-31,Mssingno,16938,0,22567132913075859832
2025-10-31,Asdrubaal,16901,0,27524016753169131196
2025-10-31,Eldoren,18814,0,33361356834207603593
2025-10-31,Shadory,16801,0,18585266914888353360
