dateTime,character,itemID,offspec,id
2025-07-27,Milshunter,21708,1,20981971074110476398
2025-07-27,Snotspat,21128,0,12221687318486513250
2025-07-27,Divinê,21695,0,32463006721025848327
2025-07-27,Michalion,21690,1,34089982393011440810
2025-07-27,Vallon,20734,0,17861749732560740568
2025-07-27,Skoomael,21671,1,35241486242846232136
2025-07-27,Flaggermus,21648,1,13355349263619944146
2025-07-27,Bucurie,21663,0,15696870772325713741
2025-07-27,Gangrecoeur,21647,0,95084758527442025410
2025-07-27,Birkler,21621,1,54284721669091048300
2025-07-27,Saelynn,20930,0,33814689423921563152
2025-07-27,Poorpower,20926,0,96574108373304784600
2025-07-27,Mezz,21605,1,40158976083242966283
2025-07-27,Skoomael,21615,0,43843614428462321360
2025-07-27,Saelynn,20931,0,98792517739215631520
2025-07-27,Sandomin,21221,0,23825194283208758555
2025-07-27,Filbyter,22730,0,22004810981342801007
2025-07-27,Yulefuel,21583,0,31071964131019407321
2025-07-27,Poorpower,20933,0,12912992373304784600
2025-07-27,Raskous,20932,0,39721820363876970720
2025-07-27,Birkler,20928,0,48553441269091048300
