dateTime,character,itemID,offspec,id
2025-12-07,Insomnya,21814,0,33865089481628883124
2025-12-07,Skybacon,21698,0,15804970306387418400
2025-12-07,Skybacon,21694,0,14930036963874184000
2025-12-07,Insomnya,21691,0,14997178761628883124
2025-12-07,Raskous,21678,0,66723158022041393630
2025-12-07,Gordman,21670,0,62021999419887443720
2025-12-07,Sno,21647,0,37720022127844246110
2025-12-07,Birkler,21650,0,33167468276212138610
2025-12-07,Trapacero,20928,0,19691022676952897950
2025-12-07,Sno,21677,0,39504050662784424611
2025-12-07,Skybacon,20932,1,41396391696387418400
2025-12-07,Holychad,20730,0,16506553961550148405
2025-12-07,Holychad,21620,0,10422088881550148405
2025-12-07,Skoomael,20932,1,27638723051968409513
2025-12-07,Harrylarry,20928,0,86438769332111747720
2025-12-07,Insomnya,21598,1,41802805481628883124
2025-12-07,Skybacon,21609,0,84536730763874184000
2025-12-07,Skybacon,20930,1,41778895486387418400
2025-12-07,Insomnya,20926,0,15253889921628883124
2025-12-07,Zbleh,23570,0,33801678822947922452
2025-12-07,Skoomael,20931,1,84188024219684095130
2025-12-07,Nibix,20927,0,33989562211839233100
2025-12-07,Gordman,21126,0,21175696591988744372
2025-12-07,Meliva,20929,0,34615168434140040224
2025-12-07,Bruceli,22732,1,13019230732644244033
2025-12-07,Giggles,20933,0,30688829131354912984
2025-12-07,Sno,14312,1,22247349192784424611
