dateTime,character,itemID,offspec,id
2026-03-18,Eïnherjar,22355,1,10228726331677655448
2026-03-18,Skoomael,22938,1,34147196013798390417
2026-03-18,Skoomael,22726,0,25233555663798390417
2026-03-18,Farlopo,22355,1,19103092244099368368
2026-03-18,Niedrig,22806,0,35273799812401572573
2026-03-18,Skoomael,22726,0,37404907613798390417
2026-03-18,Kennor,22364,1,38544538451120853777
2026-03-18,Farlopo,22815,1,26385903344099368368
2026-03-18,Kennor,22361,1,27639947691120853777
2026-03-18,Yulefuel,22988,1,25960761331971565602
2026-03-18,Mhysa,22368,0,17534825881023284984
2026-03-18,Kennor,23075,1,35269212131120853777
2026-03-18,Skoomael,22726,0,31050782553798390417
2026-03-18,Kennor,22360,1,19264806351120853777
2026-03-18,Farlopo,22353,1,88037674740993683680
2026-03-18,Mhysa,22801,0,45628296510232849840
2026-03-18,Caesartje,22726,0,20474483152532488109
2026-03-18,Kennor,22365,1,37599394581120853777
2026-03-18,Caesartje,22726,0,21574533432532488109
2026-03-18,Kennor,22365,1,42823052351120853777
2026-03-18,Fjall,23023,0,27870206502284201922
2026-03-18,Caesartje,22726,0,55396374725324881090
2026-03-18,Niedrig,23071,0,11102210382401572573
2026-03-18,Tochopolvo,22349,1,10860597971355176647
2026-03-18,Amima,22350,0,40984782493689127179
2026-03-18,Eïnherjar,22356,1,67701142516776554480
2026-03-18,Caesartje,22726,0,38879448602532488109
2026-03-18,Mhysa,22370,0,12900242561023284984
2026-03-18,Aminth,23035,1,41321851356685461200
2026-03-18,Mornie,23035,1,10173568642078858948
2026-03-18,Kennor,23006,1,88755081411208537770
2026-03-18,Kennor,23037,1,12228395991120853777
2026-03-18,Kennor,22359,1,36853597821120853777
2026-03-18,Cartouche,23548,0,42596124522203001058
2026-03-18,Snotspat,23545,0,14066526792800809606
2026-03-18,Mornie,23048,0,13763042222078858948
2026-03-18,Rannek,23045,0,29220519071496470109
2026-03-18,Krits,23054,0,19471706538141930910
2026-03-18,Yulefuel,23061,0,19829514791971565602
2026-03-18,Willythepimp,23060,0,89212994918018727490
2026-03-18,Caesartje,23057,0,35961251202532488109
2026-03-18,Gangrecoeur,22520,0,11080887963696360822
